,Ingredient,Weight (g),Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Sugar (g),Fiber (g),Serving weight (g),title
4,bourbon whiskey,41.7,104.25,0.0,0.0,0.04170000000000001,0.04170000000000001,0.0,322.55049142733446,Classic Old Fashioned
5,orange,20.0,9.4,0.18799999999999997,0.024,2.36,1.87,0.48,322.55049142733446,Classic Old Fashioned
6,maraschino cherry,5.0,8.25,0.011000000000000001,0.0105,2.1,1.94,0.16,322.55049142733446,Classic Old Fashioned
0,sherry,8.583333333333332,13.046666666666665,0.017166666666666667,0.0,1.0042499999999999,0.09355833333333333,0.0,502.9923700004891,Jamey's Restaurant Style Beef and Broccoli
1,oyster sauce,24.000000000405763,12.24000000020694,0.32400000000547785,0.06000000000101441,2.6160000000442283,0.0,0.07200000000121728,502.9923700004891,Jamey's Restaurant Style Beef and Broccoli
2,sesame oil,2.25,19.89,0.0,2.25,0.0,0.0,0.0,502.9923700004891,Jamey's Restaurant Style Beef and Broccoli
3,soy sauce,1.325,0.7022499999999999,0.107855,0.0075524999999999985,0.06532249999999999,0.0053,0.0106,502.9923700004891,Jamey's Restaurant Style Beef and Broccoli
4,white sugar,1.05,4.0635,0.0,0.0,1.05,1.0479,0.0,502.9923700004891,Jamey's Restaurant Style Beef and Broccoli
5,cornstarch,0.66666666675,2.5400000003175,0.00173333333355,0.000333333333375,0.6086666667427499,0.0,0.00600000000075,502.9923700004891,Jamey's Restaurant Style Beef and Broccoli
6,beef sirloin steak,170.09713875,364.007876925,33.84933061125,24.323890841249998,0.0,0.0,0.0,502.9923700004891,Jamey's Restaurant Style Beef and Broccoli
7,vegetable oil,10.5,92.82,0.0,10.5,0.0,0.0,0.0,502.9923700004891,Jamey's Restaurant Style Beef and Broccoli
8,ginger root,0.275,0.22,0.005005000000000001,0.0020625,0.04895000000000001,0.004675,0.0055000000000000005,502.9923700004891,Jamey's Restaurant Style Beef and Broccoli
9,garlic,0.75,1.1175,0.047700000000000006,0.00375,0.24825000000000003,0.0075,0.01575,502.9923700004891,Jamey's Restaurant Style Beef and Broccoli
10,broccoli,113.3980925,38.55535145,3.1978262085,0.41957294224999997,7.5296333419999995,1.9277675725,2.9483504050000007,502.9923700004891,Jamey's Restaurant Style Beef and Broccoli
11,mushrooms,113.3980925,28.349523125,2.1205443297500004,0.32885446825000003,5.77196290825,2.6535153644999996,2.72155422,502.9923700004891,Jamey's Restaurant Style Beef and Broccoli
12,snow peas,56.69904625,23.813599425000003,1.5875732949999999,0.11339809250000002,4.280777991875,2.2679618500000003,1.4741752025000003,502.9923700004891,Jamey's Restaurant Style Beef and Broccoli
